Issue Type,Issue Id,Summary,Description,Acceptance Criteria (BDD),Labels,Components,Priority,Story Points,Epic Name,Epic Link,Parent Id
Epic,EP-MVP-2W,EP: 2-week MVP — Profile Service (Spring Boot + Spring Cloud),"Пет-проект: запустить за 2 недели профиль-сервис на Spring Boot 3 с простым CRUD, Discovery (возраст+пагинация), упрощённой аутентификацией, Actuator/Micrometer, CI и Spring Cloud (Eureka/Config/Gateway).",,"mvp-2w,spring-boot,spring-cloud,tdd","profile-service,platform",High,,EP: 2-week MVP — Profile Service (Spring Boot + Spring Cloud),,
Story,S-MVP-01,Bootstrap: Spring Boot skeleton + Flyway + OpenAPI,"Инициализация проекта: контроллер/сервис/репозиторий, springdoc-openapi, Flyway миграции, профили env (dev,test).","Given новый проект
When приложение стартует
Then /actuator/health=UP и Swagger UI на /swagger-ui доступен","spring-boot,bootstrap,openapi,flyway",profile-service,High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-01-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"spring-boot,bootstrap,openapi,flyway,tdd",profile-service,High,,,,S-MVP-01
Sub-task,T-S-MVP-01-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"spring-boot,bootstrap,openapi,flyway,tdd",profile-service,High,,,,S-MVP-01
Sub-task,T-S-MVP-01-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"spring-boot,bootstrap,openapi,flyway,tdd",profile-service,Medium,,,,S-MVP-01
Sub-task,T-S-MVP-01-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"spring-boot,bootstrap,openapi,flyway,tdd",profile-service,Medium,,,,S-MVP-01
Sub-task,T-S-MVP-01-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"spring-boot,bootstrap,openapi,flyway,tdd",profile-service,Medium,,,,S-MVP-01
Story,S-MVP-02,docker-compose: Postgres + Eureka + Config + Gateway + Profile,Единый compose для локального запуска стека.,"Given docker compose up
When обращаемся к gateway
Then маршруты работают; все сервисы в статусе UP","docker,compose,local",platform,High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-02-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"docker,compose,local,tdd",profile-service,High,,,,S-MVP-02
Sub-task,T-S-MVP-02-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"docker,compose,local,tdd",profile-service,High,,,,S-MVP-02
Sub-task,T-S-MVP-02-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"docker,compose,local,tdd",profile-service,Medium,,,,S-MVP-02
Sub-task,T-S-MVP-02-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"docker,compose,local,tdd",profile-service,Medium,,,,S-MVP-02
Sub-task,T-S-MVP-02-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"docker,compose,local,tdd",profile-service,Medium,,,,S-MVP-02
Story,S-MVP-03,Config Server (git backend) + Profile как Config Client,"Запуск Config Server (git-бэкенд); подключить профиль-сервис как config client (fail-fast, /actuator/refresh).","Given config-server запущен и есть git-репо конфигов
When GET /{app}/{profile}
Then возвращается YAML
And профиль-сервис читает настройки при старте","spring-cloud,config-server,config-client","platform,profile-service",High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-03-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"spring-cloud,config-server,config-client,tdd",profile-service,High,,,,S-MVP-03
Sub-task,T-S-MVP-03-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"spring-cloud,config-server,config-client,tdd",profile-service,High,,,,S-MVP-03
Sub-task,T-S-MVP-03-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"spring-cloud,config-server,config-client,tdd",profile-service,Medium,,,,S-MVP-03
Sub-task,T-S-MVP-03-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"spring-cloud,config-server,config-client,tdd",profile-service,Medium,,,,S-MVP-03
Sub-task,T-S-MVP-03-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"spring-cloud,config-server,config-client,tdd",profile-service,Medium,,,,S-MVP-03
Story,S-MVP-04,Eureka Server + регистрация Profile Service,Запуск Eureka Server; регистрация profile-service как клиента (healthcheck метаданные).,"Given eureka запущен
When открываем дашборд
Then profile-service зарегистрирован со статусом UP","spring-cloud,eureka","platform,profile-service",High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-04-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"spring-cloud,eureka,tdd",profile-service,High,,,,S-MVP-04
Sub-task,T-S-MVP-04-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"spring-cloud,eureka,tdd",profile-service,High,,,,S-MVP-04
Sub-task,T-S-MVP-04-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"spring-cloud,eureka,tdd",profile-service,Medium,,,,S-MVP-04
Sub-task,T-S-MVP-04-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"spring-cloud,eureka,tdd",profile-service,Medium,,,,S-MVP-04
Sub-task,T-S-MVP-04-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"spring-cloud,eureka,tdd",profile-service,Medium,,,,S-MVP-04
Story,S-MVP-05,Gateway маршрут /api/profiles/** через serviceId,Spring Cloud Gateway проксирует запросы к profile-service по serviceId через Eureka.,"Given gateway+eureka+profile-service запущены
When вызываем /api/profiles/**
Then запрос уходит в profile-service и возвращает ответ","spring-cloud,gateway,routing",platform,High,3,,EP-MVP-2W,
Sub-task,T-S-MVP-05-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"spring-cloud,gateway,routing,tdd",profile-service,High,,,,S-MVP-05
Sub-task,T-S-MVP-05-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"spring-cloud,gateway,routing,tdd",profile-service,High,,,,S-MVP-05
Sub-task,T-S-MVP-05-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"spring-cloud,gateway,routing,tdd",profile-service,Medium,,,,S-MVP-05
Sub-task,T-S-MVP-05-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"spring-cloud,gateway,routing,tdd",profile-service,Medium,,,,S-MVP-05
Sub-task,T-S-MVP-05-5,TDD: Docs & OpenAPI,"Обновить springdoc-openapi и README/ADR, примеры запросов/ответов.",,"spring-cloud,gateway,routing,tdd",profile-service,Medium,,,,S-MVP-05
Story,S-MVP-06,Simple auth: X-User-Id header,SecurityFilterChain; извлекать X-User-Id в SecurityContext; открыть /actuator/** и /swagger-ui/**.,"Given нет X-User-Id
When защищённый запрос
Then 401; при корректном заголовке — 200","security,lean",profile-service,High,2,,EP-MVP-2W,
Sub-task,T-S-MVP-06-1,TDD: Red tests,"Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured, Testcontainers где уместно).",,"security,lean,tdd",profile-service,High,,,,S-MVP-06
Sub-task,T-S-MVP-06-2,TDD: Green impl,Минимальная реализация для прохождения тестов.,,"security,lean,tdd",profile-service,High,,,,S-MVP-06
Sub-task,T-S-MVP-06-3,TDD: Refactor,Рефакторинг/очистка кода без изменения поведения.,,"security,lean,tdd",profile-service,Medium,,,,S-MVP-06
Sub-task,T-S-MVP-06-4,TDD: Negative & edge,"Негативные/пограничные сценарии (валидация, 4xx/5xx, пустые/большие входы).",,"security,lean,tdd",profile-service,Medium,,,,S-MVP-06
