Issue Type,External ID,Summary,Description,Labels,Priority,Story point estimate,Epic Name,Parent
Epic,EP-MVP-2W,EP: 2-week MVP — Profile Service (Spring Boot + Spring Cloud),"Пет-проект: 2-недельный MVP — профили (CRUD), discovery, упрощённая аутентификация, Actuator/Micrometer, CI и Spring Cloud (Eureka/Config/Gateway).

### Acceptance criteria (BDD)
Given MVP timeline 2 weeks
When delivering service
Then epic contains all MVP stories","mvp-2w,spring-boot,spring-cloud,tdd",High,,EP: 2-week MVP — Profile Service (Spring Boot + Spring Cloud),
Story,S-MVP-01,Bootstrap: Spring Boot skeleton + Flyway + OpenAPI,"Инициализация проекта: контроллер/сервис/репозиторий, springdoc-openapi, Flyway, профили env (dev,test).

### Acceptance criteria (BDD)
Given новый проект
When приложение стартует
Then /actuator/health=UP и Swagger UI на /swagger-ui доступен","spring-boot,bootstrap,openapi,flyway",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-01-1,TDD: Red tests,"Подзадача для S-MVP-01: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","spring-boot,bootstrap,openapi,flyway,tdd",Medium,,,S-MVP-01
Sub-task,T-S-MVP-01-2,TDD: Green impl,"Подзадача для S-MVP-01: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","spring-boot,bootstrap,openapi,flyway,tdd",Medium,,,S-MVP-01
Sub-task,T-S-MVP-01-3,TDD: Refactor,"Подзадача для S-MVP-01: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","spring-boot,bootstrap,openapi,flyway,tdd",Medium,,,S-MVP-01
Sub-task,T-S-MVP-01-4,TDD: Negative & edge,"Подзадача для S-MVP-01: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","spring-boot,bootstrap,openapi,flyway,tdd",Medium,,,S-MVP-01
Sub-task,T-S-MVP-01-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-01: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","spring-boot,bootstrap,openapi,flyway,tdd",Medium,,,S-MVP-01
Story,S-MVP-02,docker-compose: Postgres + Eureka + Config + Gateway + Profile,"Единый compose для локального запуска стека.

### Acceptance criteria (BDD)
Given docker compose up
When обращаемся к gateway
Then маршруты работают; все сервисы в статусе UP","docker,compose,local",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-02-1,TDD: Red tests,"Подзадача для S-MVP-02: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","docker,compose,local,tdd",Medium,,,S-MVP-02
Sub-task,T-S-MVP-02-2,TDD: Green impl,"Подзадача для S-MVP-02: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","docker,compose,local,tdd",Medium,,,S-MVP-02
Sub-task,T-S-MVP-02-3,TDD: Refactor,"Подзадача для S-MVP-02: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","docker,compose,local,tdd",Medium,,,S-MVP-02
Sub-task,T-S-MVP-02-4,TDD: Negative & edge,"Подзадача для S-MVP-02: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","docker,compose,local,tdd",Medium,,,S-MVP-02
Sub-task,T-S-MVP-02-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-02: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","docker,compose,local,tdd",Medium,,,S-MVP-02
Story,S-MVP-03,Config Server (git backend) + Profile как Config Client,"Config Server (git); профиль-сервис как client (fail-fast, /actuator/refresh).

### Acceptance criteria (BDD)
Given config-server запущен и есть git-репо конфигов
When GET /{app}/{profile}
Then YAML; профиль-сервис читает настройки при старте","spring-cloud,config",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-03-1,TDD: Red tests,"Подзадача для S-MVP-03: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","spring-cloud,config,tdd",Medium,,,S-MVP-03
Sub-task,T-S-MVP-03-2,TDD: Green impl,"Подзадача для S-MVP-03: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","spring-cloud,config,tdd",Medium,,,S-MVP-03
Sub-task,T-S-MVP-03-3,TDD: Refactor,"Подзадача для S-MVP-03: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","spring-cloud,config,tdd",Medium,,,S-MVP-03
Sub-task,T-S-MVP-03-4,TDD: Negative & edge,"Подзадача для S-MVP-03: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","spring-cloud,config,tdd",Medium,,,S-MVP-03
Sub-task,T-S-MVP-03-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-03: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","spring-cloud,config,tdd",Medium,,,S-MVP-03
Story,S-MVP-04,Eureka Server + регистрация Profile Service,"Eureka Server; регистрация profile-service.

### Acceptance criteria (BDD)
Given eureka запущен
When открываем дашборд
Then profile-service в статусе UP","spring-cloud,eureka",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-04-1,TDD: Red tests,"Подзадача для S-MVP-04: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","spring-cloud,eureka,tdd",Medium,,,S-MVP-04
Sub-task,T-S-MVP-04-2,TDD: Green impl,"Подзадача для S-MVP-04: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","spring-cloud,eureka,tdd",Medium,,,S-MVP-04
Sub-task,T-S-MVP-04-3,TDD: Refactor,"Подзадача для S-MVP-04: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","spring-cloud,eureka,tdd",Medium,,,S-MVP-04
Sub-task,T-S-MVP-04-4,TDD: Negative & edge,"Подзадача для S-MVP-04: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","spring-cloud,eureka,tdd",Medium,,,S-MVP-04
Sub-task,T-S-MVP-04-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-04: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","spring-cloud,eureka,tdd",Medium,,,S-MVP-04
Story,S-MVP-05,Gateway маршрут /api/profiles/** через serviceId,"Spring Cloud Gateway проксирует запросы через Eureka.

### Acceptance criteria (BDD)
Given gateway+eureka+profile-service
When вызываем /api/profiles/**
Then запрос уходит в профиль-сервис","spring-cloud,gateway",Medium,3,,EP-MVP-2W
Sub-task,T-S-MVP-05-1,TDD: Red tests,"Подзадача для S-MVP-05: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","spring-cloud,gateway,tdd",Medium,,,S-MVP-05
Sub-task,T-S-MVP-05-2,TDD: Green impl,"Подзадача для S-MVP-05: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","spring-cloud,gateway,tdd",Medium,,,S-MVP-05
Sub-task,T-S-MVP-05-3,TDD: Refactor,"Подзадача для S-MVP-05: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","spring-cloud,gateway,tdd",Medium,,,S-MVP-05
Sub-task,T-S-MVP-05-4,TDD: Negative & edge,"Подзадача для S-MVP-05: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","spring-cloud,gateway,tdd",Medium,,,S-MVP-05
Sub-task,T-S-MVP-05-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-05: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","spring-cloud,gateway,tdd",Medium,,,S-MVP-05
Story,S-MVP-06,Simple auth: X-User-Id header,"SecurityFilterChain; извлекать X-User-Id в SecurityContext.

### Acceptance criteria (BDD)
Given нет X-User-Id
When защищённый запрос
Then 401; при корректном заголовке — 200","security,lean",Medium,2,,EP-MVP-2W
Sub-task,T-S-MVP-06-1,TDD: Red tests,"Подзадача для S-MVP-06: Red tests

### Acceptance criteria (BDD)
Написать падающие unit/api тесты (JUnit5, Spring MVC Test/RestAssured).","security,lean,tdd",Medium,,,S-MVP-06
Sub-task,T-S-MVP-06-2,TDD: Green impl,"Подзадача для S-MVP-06: Green impl

### Acceptance criteria (BDD)
Минимальная реализация для прохождения тестов.","security,lean,tdd",Medium,,,S-MVP-06
Sub-task,T-S-MVP-06-3,TDD: Refactor,"Подзадача для S-MVP-06: Refactor

### Acceptance criteria (BDD)
Рефакторинг/очистка кода без изменения поведения.","security,lean,tdd",Medium,,,S-MVP-06
Sub-task,T-S-MVP-06-4,TDD: Negative & edge,"Подзадача для S-MVP-06: Negative & edge

### Acceptance criteria (BDD)
Негативные/пограничные сценарии (валидация, 4xx/5xx).","security,lean,tdd",Medium,,,S-MVP-06
Sub-task,T-S-MVP-06-5,TDD: Docs & OpenAPI,"Подзадача для S-MVP-06: Docs & OpenAPI

### Acceptance criteria (BDD)
Обновить springdoc-openapi и README/ADR.","security,lean,tdd",Medium,,,S-MVP-06
